detection_id,source_image,class,confidence,raw_confidence,shadow_multiplier,bbox_px,geotag,detected_at
Corsair_01.png_10,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Corsair_01.png,shipwreck,0.942,0.9758885381930154,0.965,"[768, 576, 1024, 832]",not_available_no_nav_metadata,2026-09-13T18:47:51.505257Z
Corsair_01.png_11,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Corsair_01.png,shipwreck,0.976,0.9757139265512341,1.0,"[1056, 864, 1312, 1120]",not_available_no_nav_metadata,2026-09-13T18:47:51.505273Z
Corsair_01.png_12,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Corsair_01.png,shipwreck,0.967,0.9754609285791634,0.991,"[480, 864, 736, 1120]",not_available_no_nav_metadata,2026-09-13T18:47:51.505283Z
Corsair_01.png_13,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Corsair_01.png,shipwreck,0.975,0.9752452966027128,1.0,"[1056, 96, 1312, 352]",not_available_no_nav_metadata,2026-09-13T18:47:51.505293Z
Corsair_01.png_14,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Corsair_01.png,shipwreck,0.944,0.9440471479852045,1.0,"[960, 480, 1216, 736]",not_available_no_nav_metadata,2026-09-13T18:47:51.505304Z
Corsair_01.png_15,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Corsair_01.png,shipwreck,0.928,0.9282835148808284,1.0,"[960, 1536, 1216, 1792]",not_available_no_nav_metadata,2026-09-13T18:47:51.505314Z
Corsair_01.png_16,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Corsair_01.png,shipwreck,0.865,0.8753665155538884,0.989,"[864, 768, 1120, 1024]",not_available_no_nav_metadata,2026-09-13T18:47:51.505323Z
Monrovia_02.png_0,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Monrovia_02.png,shipwreck,0.983,0.994239299734508,0.989,"[768, 1056, 1024, 1312]",not_available_no_nav_metadata,2026-09-13T18:47:57.073663Z
Monrovia_02.png_1,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Monrovia_02.png,shipwreck,0.942,0.9907890197837704,0.951,"[576, 1152, 832, 1408]",not_available_no_nav_metadata,2026-09-13T18:47:57.073676Z
Monrovia_02.png_2,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Monrovia_02.png,shipwreck,0.395,0.9864268955532699,0.4,"[768, 672, 1024, 928]",not_available_no_nav_metadata,2026-09-13T18:47:57.073681Z
Monrovia_02.png_3,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Monrovia_02.png,shipwreck,0.984,0.9844408367990568,1.0,"[576, 768, 832, 1024]",not_available_no_nav_metadata,2026-09-13T18:47:57.073685Z
Monrovia_02.png_4,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Monrovia_02.png,shipwreck,0.956,0.9836784929618047,0.972,"[768, 0, 1024, 256]",not_available_no_nav_metadata,2026-09-13T18:47:57.073688Z
Monrovia_02.png_5,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Monrovia_02.png,shipwreck,0.982,0.9824234267564164,1.0,"[768, 1344, 1024, 1600]",not_available_no_nav_metadata,2026-09-13T18:47:57.073693Z
Monrovia_02.png_6,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Monrovia_02.png,shipwreck,0.982,0.9820531216980376,1.0,"[576, 576, 832, 832]",not_available_no_nav_metadata,2026-09-13T18:47:57.073697Z
Monrovia_02.png_7,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Monrovia_02.png,shipwreck,0.99,0.9796527349732773,1.15,"[768, 480, 1024, 736]",not_available_no_nav_metadata,2026-09-13T18:47:57.073701Z
Monrovia_02.png_8,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Monrovia_02.png,shipwreck,0.979,0.9787803342952652,1.0,"[576, 1344, 832, 1600]",not_available_no_nav_metadata,2026-09-13T18:47:57.073705Z
Monrovia_02.png_9,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Monrovia_02.png,shipwreck,0.918,0.9705834495108023,0.945,"[576, 288, 832, 544]",not_available_no_nav_metadata,2026-09-13T18:47:57.073709Z
Monrovia_02.png_10,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Monrovia_02.png,shipwreck,0.97,0.9698284044806398,1.0,"[768, 192, 1024, 448]",not_available_no_nav_metadata,2026-09-13T18:47:57.073713Z
Monrovia_02.png_11,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Monrovia_02.png,shipwreck,0.95,0.9511663934567076,0.999,"[576, 0, 832, 256]",not_available_no_nav_metadata,2026-09-13T18:47:57.073716Z
Monrovia_02.png_12,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Monrovia_02.png,shipwreck,0.931,0.9425765594030856,0.987,"[960, 1056, 1216, 1312]",not_available_no_nav_metadata,2026-09-13T18:47:57.073769Z
Monrovia_02.png_13,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Monrovia_02.png,shipwreck,0.936,0.9395032857265998,0.997,"[960, 192, 1216, 448]",not_available_no_nav_metadata,2026-09-13T18:47:57.073774Z
Monrovia_02.png_14,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Monrovia_02.png,shipwreck,0.804,0.9065189732354194,0.887,"[960, 576, 1216, 832]",not_available_no_nav_metadata,2026-09-13T18:47:57.073778Z
Monrovia_02.png_15,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Monrovia_02.png,shipwreck,0.864,0.8907442946839587,0.97,"[576, 960, 832, 1216]",not_available_no_nav_metadata,2026-09-13T18:47:57.073782Z
Monrovia_02.png_16,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Monrovia_02.png,shipwreck,0.888,0.8878773079076279,1.0,"[960, 1344, 1216, 1600]",not_available_no_nav_metadata,2026-09-13T18:47:57.073787Z
Monrovia_02.png_17,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Monrovia_02.png,shipwreck,0.888,0.8878160441147341,1.0,"[960, 384, 1216, 640]",not_available_no_nav_metadata,2026-09-13T18:47:57.073791Z
1693569523.810.png_0,C:\Users\chinn\Downloads\echotrace_prototype\data\pipes\images\1693569523.810.png,pipe,0.974,0.9744960178169819,1.0,"[2016, 0, 2272, 256]",not_available_no_nav_metadata,2026-09-13T18:47:58.925104Z
1693569523.810.png_1,C:\Users\chinn\Downloads\echotrace_prototype\data\pipes\images\1693569523.810.png,pipe,0.965,0.9651963237388609,1.0,"[1824, 96, 2080, 352]",not_available_no_nav_metadata,2026-09-13T18:47:58.925115Z
1693569523.810.png_2,C:\Users\chinn\Downloads\echotrace_prototype\data\pipes\images\1693569523.810.png,pipe,0.943,0.9497738440616139,0.993,"[1536, 0, 1792, 256]",not_available_no_nav_metadata,2026-09-13T18:47:58.925119Z
1693569523.810.png_3,C:\Users\chinn\Downloads\echotrace_prototype\data\pipes\images\1693569523.810.png,pipe,0.947,0.9490159683965487,0.998,"[1536, 192, 1792, 448]",not_available_no_nav_metadata,2026-09-13T18:47:58.925123Z
1693569523.810.png_4,C:\Users\chinn\Downloads\echotrace_prototype\data\pipes\images\1693569523.810.png,pipe,0.833,0.9365425355518733,0.889,"[2208, 96, 2464, 352]",not_available_no_nav_metadata,2026-09-13T18:47:58.925127Z
1693569523.810.png_5,C:\Users\chinn\Downloads\echotrace_prototype\data\pipes\images\1693569523.810.png,pipe,0.843,0.9179567129003686,0.918,"[2016, 192, 2272, 448]",not_available_no_nav_metadata,2026-09-13T18:47:58.925140Z
1693569523.810.png_6,C:\Users\chinn\Downloads\echotrace_prototype\data\pipes\images\1693569523.810.png,pipe,0.916,0.9156563200482437,1.0,"[768, 192, 1024, 448]",not_available_no_nav_metadata,2026-09-13T18:47:58.925144Z
1693569523.810.png_7,C:\Users\chinn\Downloads\echotrace_prototype\data\pipes\images\1693569523.810.png,pipe,0.899,0.898860669322629,1.0,"[480, 96, 736, 352]",not_available_no_nav_metadata,2026-09-13T18:47:58.925147Z
