tile_path,class,source_image
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_640_1024.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_768_1024.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_896_1024.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_1024_1024.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_1152_1024.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_1280_1024.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_384_1152.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_512_1152.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_640_1152.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_768_1152.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_896_1152.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_1024_1152.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_1152_1152.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_1280_1152.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_384_1280.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_512_1280.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_640_1280.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_768_1280.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_896_1280.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_1024_1280.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_1152_1280.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_1280_1280.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_384_1408.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_512_1408.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_640_1408.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_768_1408.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_896_1408.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_1024_1408.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_1152_1408.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_1280_1408.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_384_1536.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_512_1536.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_640_1536.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_768_1536.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_896_1536.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_1024_1536.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_1152_1536.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_1280_1536.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\background\DM_Wilson_05_bg_0_0.png,background,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_05.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\background\DM_Wilson_05_bg_128_0.png,background,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_05.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\background\DM_Wilson_05_bg_256_0.png,background,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_05.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_05_0_4224.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_05.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_05_128_4224.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_05.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_05_256_4224.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_05.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_05_0_4352.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_05.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_05_128_4352.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_05.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_05_256_4352.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_05.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_05_0_4480.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_05.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_05_128_4480.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_05.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_05_256_4480.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_05.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_05_0_4608.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_05.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_05_128_4608.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_05.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\background\DM_Wilson_07_bg_0_0.png,background,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_07.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\background\DM_Wilson_07_bg_128_0.png,background,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_07.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\background\DM_Wilson_07_bg_256_0.png,background,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_07.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_07_1024_3712.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_07.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_07_1152_3712.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_07.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\background\DM_Wilson_08_bg_0_0.png,background,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\background\DM_Wilson_08_bg_128_0.png,background,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\background\DM_Wilson_08_bg_256_0.png,background,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_256_640.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_384_640.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_512_640.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_640_640.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_768_640.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_896_640.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_1024_640.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_1152_640.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_1280_640.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_1408_640.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_128_768.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_256_768.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_384_768.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_512_768.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_640_768.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_768_768.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_896_768.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_1024_768.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_1152_768.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_1280_768.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_1408_768.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_128_896.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_256_896.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_384_896.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_512_896.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_640_896.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_768_896.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_896_896.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_1024_896.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_1152_896.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_1280_896.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_1408_896.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_128_1024.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_256_1024.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_384_1024.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_512_1024.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_08_640_1024.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_08.png
